Emotion,Text
joy,im in a place right now where i feel safe and peaceful
anger,i feel is most dangerous is people dismissing these disconnects and not considering them trials equal to the physical hardships of the revered pioneers
joy,i agree it looks gorgeous and feels amazing but i have only worn it out on the town one time on new years eve
anger,i surmise that after i have made myself sick one too many times on take out and sitcom re runs that i will come around again into feeling dissatisfied with a stationary life without much forward motion
joy,i feel that the only acceptable solution is to replace this brush with its rightful mac predecessor
anger,i just feel like its rude
sadness,i feel like my life has become rather dull it lacks excitement but i feel next year will be different
fear,i bought into what the world had told me would fill this emptiness but all it did was leave me lonely feeling confused at the emotional baggage and physical consequences i never expected
sadness,i think im allowing myself to feel this way because im not heartbroken
sadness,i wanted to write and feel purged of those repressed feelings
fear,i got on and was nervous feeling very timid and shy but after a while we were talking like weve known each other our whole lives
anger,i feel that if he hadnt appeared out of nowhere and distracted me i would have noticed the light change and none of this would have happened
anger,ive realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him
anger,i feel rather pissed off
sadness,i am tied down to my thoughts in class as in life i cant perform i feel ashamed and afraid to be in myself
joy,i was feeling ok it would be fun to drive over to dunstable and stand in a field for an hour or so watching people try and drive preposterous motors up grass slopes thats trialling
sadness,i mean its beginning marks the end to one of the best months of the year which im left feeling exhausted from
joy,i feel so carefree i never think of the crap going on in my life
joy,i feel that everyone is entitiled to their opinion and that opinion should be respected
